City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Hobart,-42.8794,147.3294,57.2,62,75,12.66,AU,2021-04-24 00:29:45
94,Garissa,-0.4536,39.6401,78.55,77,66,10.22,KE,2021-04-24 00:31:28
95,Kahului,20.8947,-156.47,82.4,47,40,26.46,US,2021-04-24 00:27:06
96,Saint-Augustin,51.226,-58.6502,32.43,96,100,12.84,CA,2021-04-24 00:31:28
97,Hermanus,-34.4187,19.2345,55.0,90,85,1.01,ZA,2021-04-24 00:28:49
98,Cabo San Lucas,22.8909,-109.9124,82.4,57,20,11.5,MX,2021-04-24 00:29:10
99,Benghazi,32.1167,20.0667,74.95,29,32,22.55,LY,2021-04-24 00:31:29
100,Cairns,-16.9167,145.7667,81.0,78,75,14.97,AU,2021-04-24 00:31:30
101,Cidreira,-30.1811,-50.2056,70.65,79,1,17.4,BR,2021-04-24 00:28:32
102,Nome,64.5011,-165.4064,41.0,60,1,5.75,US,2021-04-24 00:31:30
103,Yellowknife,62.456,-114.3525,17.6,53,75,11.5,CA,2021-04-24 00:31:31
104,Annau,37.8876,58.516,64.4,68,40,4.61,TM,2021-04-24 00:31:31
105,Eyl,7.9803,49.8164,82.38,75,87,7.34,SO,2021-04-24 00:31:31
106,Chokurdakh,70.6333,147.9167,8.4,85,19,1.34,RU,2021-04-24 00:31:32
107,Arlit,18.7369,7.3853,83.43,7,95,6.49,NE,2021-04-24 00:31:32
108,Los Llanos De Aridane,28.6585,-17.9182,68.0,60,0,6.91,ES,2021-04-24 00:27:55
109,Norman Wells,65.282,-126.8329,33.8,37,75,14.97,CA,2021-04-24 00:31:33
110,Laviana,43.2333,-5.5333,60.01,73,45,7.16,ES,2021-04-24 00:31:33
111,Narsaq,60.9167,-46.05,39.2,65,0,2.3,GL,2021-04-24 00:31:33
112,Lasa,46.6166,10.7002,46.0,65,0,4.61,IT,2021-04-24 00:29:22
113,Owando,-0.4819,15.8999,68.83,98,100,2.64,CG,2021-04-24 00:31:34
114,Santa Cruz Del Sur,20.7147,-77.9956,79.99,64,46,9.24,CU,2021-04-24 00:31:34
115,Castro,-24.7911,-50.0119,54.59,73,13,3.56,BR,2021-04-24 00:31:35
116,Avarua,-21.2078,-159.775,82.4,74,40,20.71,CK,2021-04-24 00:31:35
117,Tateyama,34.9833,139.8667,60.8,63,75,10.36,JP,2021-04-24 00:31:36
118,Port Alfred,-33.5906,26.891,65.61,72,0,17.52,ZA,2021-04-24 00:31:36
119,Avera,33.194,-82.5271,64.4,39,1,3.44,US,2021-04-24 00:29:49
120,Bethel,41.3712,-73.414,60.8,20,1,10.36,US,2021-04-24 00:31:37
121,College,64.8569,-147.8028,59.0,26,20,8.05,US,2021-04-24 00:30:47
