City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
169,Rorvik,64.8621,11.2373,37.72,60,100,20.74,NO,overcast clouds
170,Mecca,21.4267,39.8261,82.15,39,92,1.16,SA,overcast clouds
171,Faanui,-16.4833,-151.75,79.79,71,100,8.66,PF,overcast clouds
172,Georgetown,5.4112,100.3354,86.0,74,20,5.75,MY,few clouds
173,Vila Velha,-20.3297,-40.2925,73.4,88,75,2.3,BR,broken clouds
174,Bredasdorp,-34.5322,20.0403,50.0,93,100,5.75,ZA,overcast clouds
175,Cherskiy,68.75,161.3,22.06,83,100,13.27,RU,overcast clouds
176,Valle De Allende,26.9333,-105.4,65.3,10,0,9.33,MX,clear sky
177,Lompoc,34.6391,-120.4579,55.4,71,100,11.5,US,overcast clouds
178,Genhe,50.7833,121.5167,55.35,22,65,2.53,CN,broken clouds
179,Malakal,9.5334,31.6605,84.09,48,97,5.01,SS,overcast clouds
180,Butaritari,3.0707,172.7902,82.65,75,66,10.29,KI,light rain
181,Skibbereen,51.55,-9.2667,46.4,81,20,9.22,IE,few clouds
182,Mancio Lima,-7.6142,-72.8958,72.91,96,63,2.28,BR,broken clouds
183,Savonlinna,61.8699,28.88,33.8,93,75,6.91,FI,broken clouds
184,Jiblah,13.9216,44.1467,61.79,55,5,4.47,YE,clear sky
185,Gazli,40.1333,63.45,71.13,25,5,11.03,UZ,clear sky
186,Ambovombe,-25.1667,46.0833,67.14,86,0,4.92,MG,clear sky
187,Long,18.0761,99.8326,93.99,70,98,11.5,TH,mist
188,Udachnyy,66.4167,112.4,33.01,99,70,6.24,RU,broken clouds
189,Saskylakh,71.9167,114.0833,33.01,99,100,11.14,RU,overcast clouds
190,Inverell,-29.7833,151.1167,71.01,33,0,6.38,AU,clear sky
191,Sola,-13.8833,167.55,82.54,75,100,20.24,VU,moderate rain
192,Manggar,-2.8833,108.2667,86.43,62,11,8.86,ID,few clouds
193,Iqaluit,63.7506,-68.5145,32.0,86,90,2.3,CA,light snow
194,Zhangjiakou,40.81,114.8794,61.3,45,100,10.18,CN,overcast clouds
195,Rome,34.257,-85.1647,62.6,82,75,6.91,US,broken clouds
196,Sur,22.5667,59.5289,86.4,35,0,5.99,OM,clear sky
197,Caranan,13.5167,123.0156,84.56,66,70,3.24,PH,broken clouds
198,Senneterre,48.3835,-77.2328,44.6,61,40,14.97,CA,scattered clouds
199,La Asuncion,11.0333,-63.8628,66.2,100,55,18.41,VE,broken clouds
200,Honavar,14.2833,74.45,85.95,58,1,2.42,IN,clear sky
201,Broken Hill,-31.95,141.4333,66.2,45,0,8.05,AU,clear sky
202,Salalah,17.0151,54.0924,82.4,78,40,3.44,OM,scattered clouds
203,Tarko-Sale,64.9225,77.785,32.14,98,99,7.72,RU,overcast clouds
204,Inuvik,68.3499,-133.7218,41.0,45,81,11.5,CA,broken clouds
205,Avera,33.194,-82.5271,63.0,97,90,8.05,US,overcast clouds
206,Riberalta,-10.9833,-66.1,73.92,93,72,2.08,BO,broken clouds
207,Severo-Yeniseyskiy,60.3725,93.0408,35.26,85,100,4.18,RU,overcast clouds
208,Lincoln,40.8,-96.667,53.01,43,1,5.75,US,clear sky
209,Sabha,27.0377,14.4283,64.06,52,0,17.52,LY,clear sky
210,Klaksvik,62.2266,-6.589,41.0,87,75,1.14,FO,broken clouds
211,Xai-Xai,-25.0519,33.6442,65.71,93,10,3.56,MZ,clear sky
212,Telde,27.9924,-15.4192,64.99,77,20,5.75,ES,few clouds
213,Waddan,29.1614,16.139,56.97,85,1,9.4,LY,clear sky
214,Jacareacanga,-6.2222,-57.7528,76.5,88,74,1.14,BR,broken clouds
215,Homer,59.6425,-151.5483,55.4,30,1,6.91,US,clear sky
216,Mackenzie,55.2999,-123.1698,42.8,31,1,8.05,CA,clear sky
217,Tortoli,39.9256,9.6572,55.4,71,0,5.75,IT,clear sky
218,Zatoka,46.0725,30.4654,48.2,87,0,5.64,UA,clear sky
219,Makakilo City,21.3469,-158.0858,80.6,50,90,11.5,US,overcast clouds
220,Krasnoshchekovo,51.6708,82.7289,44.76,42,11,4.54,RU,few clouds
221,Santa Maria,-29.6842,-53.8069,64.4,100,90,2.3,BR,overcast clouds
222,Plouzane,48.3833,-4.6167,51.8,76,0,10.36,FR,clear sky
223,Wanning,18.8003,110.3967,85.68,69,46,11.52,CN,scattered clouds
224,Padang,-0.9492,100.3543,82.4,74,20,2.3,ID,few clouds
225,Caborca,30.5838,-111.101,73.22,17,33,5.77,MX,scattered clouds
226,Port Lincoln,-34.7333,135.8667,65.05,54,2,4.85,AU,clear sky
227,Komsomolskiy,40.4272,71.7189,62.6,39,3,4.61,UZ,clear sky
228,Norman Wells,65.282,-126.8329,44.6,33,20,8.05,CA,few clouds
229,Svetlyy,54.675,20.1347,37.0,86,0,8.95,RU,clear sky
230,Ponta Do Sol,32.6667,-17.1,59.0,87,92,5.01,PT,overcast clouds
231,Vestmannaeyjar,63.4427,-20.2734,44.2,90,100,25.57,IS,overcast clouds
232,Vallenar,-28.5708,-70.7581,59.61,74,0,2.62,CL,clear sky
233,Rudbar,30.15,62.6,72.95,20,12,6.08,AF,few clouds
234,Mamou,10.5,-12.0,71.65,64,14,3.38,GN,few clouds
235,Shingu,33.7333,135.9833,68.0,64,75,12.66,JP,broken clouds
236,Yarada,17.65,83.2667,86.0,79,20,4.61,IN,mist
237,Yulara,-25.2406,130.9889,71.6,30,0,19.57,AU,clear sky
238,Dengzhou,37.8086,120.7508,51.93,61,70,10.25,CN,broken clouds
239,Puri,19.8,85.85,86.0,74,20,11.5,IN,haze
240,Barranca,-10.75,-77.7667,66.15,86,6,6.96,PE,clear sky
241,Bambanglipuro,-7.95,110.2833,84.69,63,11,4.7,ID,few clouds
242,Kodiak,57.79,-152.4072,42.8,87,90,9.22,US,overcast clouds
243,Port Elizabeth,-33.918,25.5701,57.2,100,90,8.05,ZA,mist
244,Havre-Saint-Pierre,50.2334,-63.5986,35.6,93,1,11.5,CA,clear sky
245,Chipinge,-20.1883,32.6236,59.22,53,21,3.15,ZW,few clouds
246,Chapais,49.7834,-74.8492,30.2,80,1,6.91,CA,clear sky
247,De Aar,-30.6497,24.0123,58.42,30,0,3.76,ZA,clear sky
248,Tikapur,28.5,81.1333,86.79,18,0,5.28,NP,clear sky
249,Tual,-5.6667,132.75,84.99,65,100,14.41,ID,overcast clouds
250,Valparaiso,-33.0393,-71.6273,57.0,74,0,8.55,CL,clear sky
251,Baruun-Urt,46.6806,113.2792,59.74,25,100,12.66,MN,overcast clouds
252,Ribeira Grande,38.5167,-28.7,59.23,75,56,18.14,PT,broken clouds
253,Ahipara,-35.1667,173.1667,64.31,55,61,8.68,NZ,broken clouds
254,San Pedro,14.35,121.0167,90.0,62,20,8.05,PH,haze
255,Gat,31.61,34.7642,63.0,100,7,1.01,IL,clear sky
256,Ust-Omchug,61.15,149.6333,16.61,66,100,8.95,RU,overcast clouds
257,Aguilar De La Frontera,37.5143,-4.6554,55.0,81,82,0.54,ES,broken clouds
258,Ayagoz,47.9714,80.4392,42.17,32,100,13.18,KZ,overcast clouds
259,Okha,53.5739,142.9478,32.0,66,26,17.16,RU,scattered clouds
260,Brae,60.3964,-1.353,39.2,75,100,3.44,GB,overcast clouds
261,Marzuq,14.4,46.4667,68.07,41,2,5.01,YE,clear sky
262,Esso,55.9333,158.7,35.04,99,100,3.27,RU,light snow
263,Toora-Khem,52.4675,96.11,34.41,56,100,8.41,RU,overcast clouds
264,Osa,57.2829,55.4567,40.93,93,100,9.86,RU,light rain
265,Dourbali,11.8091,15.8632,81.79,44,93,6.8,TD,overcast clouds
266,Saint-Pierre,-21.3393,55.4781,77.0,78,17,24.16,RE,few clouds
267,Manokwari,-0.8667,134.0833,78.03,85,100,1.39,ID,overcast clouds
268,Sal Rei,16.1833,-22.9167,69.8,78,75,12.66,CV,broken clouds
269,East London,-33.0153,27.9116,63.48,76,84,5.68,ZA,broken clouds
270,Pangnirtung,66.1451,-65.7125,27.41,75,81,7.54,CA,broken clouds
271,Movileni,44.3667,24.65,46.0,87,0,5.75,RO,clear sky
272,Pachino,36.7186,15.0907,44.6,93,0,4.61,IT,clear sky
273,Ugoofaaru,5.6667,73.0,84.06,70,8,5.37,MV,clear sky
274,Coquimbo,-29.9533,-71.3436,55.4,88,0,4.61,CL,clear sky
275,Berezayka,57.9883,33.9036,31.96,89,100,12.06,RU,overcast clouds
276,Portland,45.5234,-122.6762,51.8,76,90,8.05,US,overcast clouds
277,Iracoubo,5.4802,-53.2011,77.76,87,100,11.05,GF,overcast clouds
278,Pandan,14.0453,124.1694,81.45,71,67,8.95,PH,broken clouds
279,Cuamba,-14.8031,36.5372,64.71,90,80,2.51,MZ,broken clouds
280,Olafsvik,64.8945,-23.7142,41.7,93,100,15.97,IS,light rain
281,Biloela,-24.4167,150.5,81.0,25,0,9.22,AU,clear sky
282,Narsaq,60.9167,-46.05,53.6,30,75,36.82,GL,broken clouds
283,Bitburg,49.9667,6.5333,39.2,70,1,6.91,DE,clear sky
284,Arman,59.7,150.1667,26.6,57,100,9.17,RU,overcast clouds
285,Pangai,-19.8,-174.35,80.2,78,100,7.9,TO,overcast clouds
286,Manicore,-5.8092,-61.3003,74.16,95,9,1.05,BR,clear sky
287,Ewa Beach,21.3156,-158.0072,80.6,50,90,11.5,US,overcast clouds
288,Nshamba,-1.7983,31.5511,59.41,91,100,2.35,TZ,light rain
289,Kavieng,-2.5744,150.7967,85.33,68,15,9.69,PG,few clouds
290,La Ronge,55.1001,-105.2842,28.4,50,96,4.61,CA,overcast clouds
291,Talas,38.6908,35.5538,41.0,81,0,5.75,TR,clear sky
292,Aklavik,68.2191,-135.0107,41.0,45,25,11.5,CA,scattered clouds
293,Gaya,24.7833,85.0,82.4,32,0,5.75,IN,haze
294,Khasan,42.4308,130.6434,56.57,28,2,15.41,RU,clear sky
295,Lavrentiya,65.5833,-171.0,33.66,92,93,1.16,RU,overcast clouds
296,Zapolyarnyy,69.4154,30.8136,32.0,93,90,14.97,RU,overcast clouds
297,Lata,40.1629,-8.3327,59.0,88,20,4.61,PT,few clouds
298,Launceston,-41.45,147.1667,63.0,55,40,16.11,AU,scattered clouds
299,Upernavik,72.7868,-56.1549,22.91,80,9,7.16,GL,clear sky
300,Vardo,70.3705,31.1107,35.24,73,100,21.88,NO,overcast clouds
